CustomerID,FirstName,MiddleName,LastName,Email,TempPassword
2,james,W,mardi,mardij@timely.com,95fUdnH3*KrD
3,JJ,,Walker,walkerj@timely.com,NnoJ87S%%ZUa
4,Lebron,,James,jamesl@timely.com,^4DjHghz8Q3c
5,dd,,ss,ssd@timely.com,ne^3d%D24^$M
6,James,Test 1,Mardi,mardij@timely.com,b@2nb$2VTQtn
7,Messi,,Leo,leom@timely.com,LxqA3Liv*aWV
8,Vlad,J,Fry,fryv@timely.com,wjDZyqB*Ec7A
8,Messi,,Leo,leom@timely.com,@JDdMa5d!kHA
9,Jonh,,Cina,cinaj@timely.com,%ahqG%$6Cw&g
10,Drake,,Ovo,ovod@timely.com,y7vmC$3?NgoL
